time,total,idle,mem_total,mem_free,1980/cpu,1980/rss,1983/cpu,1983/rss,2001/cpu,2001/rss,2015/cpu,2015/rss,2760/cpu,2760/rss,2781/cpu,2781/rss,3796/cpu,3796/rss,3986/cpu,3986/rss
1005.98,281960,250535,3887864,1638128,3496,71412,1706,70608,7972,353688,2218,115524,379,89104,86,41772,51,14768,153,50828
2008.9,282357,250910,3887864,1637628,3499,71412,1708,70608,7978,353688,2220,115524,379,89104,86,41772,52,14768,153,50828
3010.99,282755,251290,3887864,1637348,3501,71412,1709,70608,7983,353688,2221,115524,379,89104,86,41772,52,14772,153,50828
4013.05,283150,251668,3887864,1637340,3505,71412,1711,70608,7989,353688,2222,115528,380,89104,86,41772,52,14772,154,50828
5022.79,283542,252025,3887864,1637940,3512,71420,1716,70608,7999,353688,2225,115528,380,89104,86,41772,52,14772,154,50828
6027.47,283937,252392,3887864,1638324,3517,71420,1719,70608,8007,353688,2227,115528,380,89104,86,41772,52,14776,154,50828
7032.64,284325,252753,3887864,1639272,3522,71420,1722,70608,8018,353688,2233,115528,381,89104,86,41772,52,14776,155,50828
8037.84,284713,253108,3887864,1639920,3531,71420,1725,70608,8032,353688,2235,115528,381,89104,86,41772,52,14780,155,50828
9044.21,285107,253468,3887864,1640308,3538,71420,1728,70608,8042,353688,2239,115528,382,89104,88,41788,52,14788,155,50828
10047.28,285496,253801,3887864,1638800,3542,71420,1731,70608,8051,353688,2244,115528,383,89104,88,41788,52,14788,155,50828
11053.32,285889,253936,3887864,1564140,3560,71420,1734,70612,8213,388944,2250,115532,383,89104,88,41788,52,14788,168,51136
12063.99,286290,254154,3887864,1547420,3567,71420,1735,70612,8370,399416,2252,115532,383,89104,88,41788,52,14788,172,51620
13067.67,286687,254400,3887864,1565508,3571,71424,1736,70612,8463,403336,2254,115532,383,89104,88,41788,52,14796,173,51796
14069.89,287086,254762,3887864,1565508,3575,71424,1738,70612,8472,403348,2255,115532,384,89104,88,41788,52,14796,174,51812
15071.99,287478,255132,3887864,1565508,3579,71424,1740,70616,8477,403348,2257,115536,384,89104,88,41788,53,14796,174,51812
16076.46,287869,255484,3887864,1565508,3584,71424,1743,70620,8493,403352,2259,115536,384,89104,88,41788,53,14800,177,51824
17078.68,288263,255850,3887864,1565884,3589,71424,1744,70620,8510,403368,2261,115536,384,89104,88,41788,53,14804,181,51892
18080.75,288662,256223,3887864,1567484,3594,71424,1746,70620,8518,403392,2262,115536,384,89104,88,41788,54,14808,181,51900
19082.76,289057,256603,3887864,1570108,3597,71424,1747,70620,8523,403392,2265,115536,384,89104,89,41788,54,14812,181,51900
20084.79,289451,256980,3887864,1572456,3600,71424,1748,70620,8528,403392,2266,115536,385,89104,89,41788,54,14812,181,51900
21086.82,289849,257364,3887864,1574620,3602,71424,1749,70620,8531,403392,2267,115536,385,89104,89,41788,54,14812,181,51900
22091.81,290243,257714,3887864,1576876,3607,71424,1752,70620,8547,403392,2270,115536,386,89104,89,41788,54,14816,183,51936
23096.44,290641,258062,3887864,1578008,3612,71424,1755,70620,8556,403392,2272,115536,386,89104,89,41788,54,14824,183,51936
24102.03,291030,258420,3887864,1580072,3619,71424,1758,70620,8567,403392,2275,115536,386,89104,89,41788,54,14828,183,51936
25105.76,291425,258765,3887864,1580844,3625,71424,1763,70620,8580,403392,2278,115536,387,89104,89,41788,54,14828,183,51936
26110.55,291814,259128,3887864,1582352,3630,71424,1766,70620,8589,403392,2280,115536,387,89104,89,41788,54,14828,183,51936
