time,total,idle,mem_total,mem_free,4320/cpu,4320/rss,4339/cpu,4339/rss,4349/cpu,4349/rss,4450/cpu,4450/rss,4451/cpu,4451/rss,8877/cpu,8877/rss,8966/cpu,8966/rss,9073/cpu,9073/rss,9161/cpu,9161/rss,9270/cpu,9270/rss,9525/cpu,9525/rss
39190.52,2789985,2739670,16370460,11146116,1467,109936,8351,64684,13246,401232,760,67532,4743,129268,424,69968,564,71804,411,57144,764,55668,278,66836,164,47912
40194.75,2790584,2740244,16370460,11143872,1468,109936,8351,64684,13246,401232,760,67532,4744,129268,427,72400,564,71804,411,57144,764,55668,278,66836,164,47912
41200.53,2791179,2740810,16370460,11140144,1468,109936,8353,64684,13250,401232,761,67532,4746,129780,430,72784,564,71804,411,57144,764,55668,278,66836,164,47912
42206.04,2791776,2741385,16370460,11147704,1468,109936,8355,64684,13253,401232,762,67532,4746,129780,433,72784,564,71804,412,57144,764,55668,278,66836,164,47912
43209.38,2792372,2741958,16370460,11147200,1468,109936,8356,64812,13255,401232,762,67532,4748,129780,436,72784,564,71804,412,57144,764,55668,278,66836,164,47912
44215.89,2792970,2742532,16370460,11146472,1468,109936,8357,64812,13257,401232,762,67532,4748,129780,438,72784,564,71804,412,57144,764,55668,279,66836,164,47912
45218.15,2793565,2743104,16370460,11145968,1468,109936,8358,64812,13260,401232,762,67532,4749,129780,442,72784,564,71804,412,57144,764,55668,279,66836,164,47912
46221.31,2794159,2743676,16370460,11144204,1468,109936,8360,64940,13262,401232,762,67532,4750,129780,444,72784,564,71804,412,57144,765,55668,279,66836,164,47912
47224.42,2794755,2744244,16370460,11141224,1470,109936,8364,64636,13265,401232,762,67532,4751,129780,447,72784,565,71804,412,57144,766,55668,279,66836,164,47912
48227.02,2795352,2744816,16370460,11137444,1470,109936,8365,64636,13267,401232,762,67532,4752,129780,448,72784,565,71804,413,57144,766,55668,279,66836,164,47912
49229.99,2795947,2745372,16370460,11140648,1470,109936,8369,64892,13274,401232,762,67532,4753,129780,451,72784,566,71804,413,57144,766,55668,279,66836,164,47912
50232.38,2796541,2745946,16370460,11138888,1470,109936,8369,64892,13276,401232,763,67532,4755,129780,454,72784,566,71804,413,57144,766,55668,279,66836,164,47912
51236.54,2797137,2746516,16370460,11135120,1470,109936,8371,65020,13278,401232,763,67532,4756,129780,457,74320,566,71804,413,57144,766,55668,279,66836,164,47912
52239.8,2797731,2747089,16370460,11132628,1470,109936,8372,65020,13280,401232,763,67532,4756,129780,461,76368,566,71804,413,57144,766,55668,279,66836,164,47912
53244.61,2798329,2747664,16370460,11129604,1470,109936,8373,65020,13282,401232,763,67532,4758,129780,463,78288,566,71804,413,57144,766,55668,279,66836,164,47912
54248.4,2798925,2748238,16370460,11127868,1470,109936,8374,65020,13284,401232,763,67532,4759,129780,466,79056,566,71804,414,57144,767,55668,279,66836,164,47912
55251.55,2799522,2748809,16370460,11126872,1471,109936,8374,65020,13286,401232,763,67532,4760,129780,469,79056,566,71804,415,57144,767,55668,279,66836,164,47912
56255.24,2800117,2749377,16370460,11125612,1471,109936,8378,65148,13291,401232,763,67532,4761,129780,471,79056,566,71804,415,57144,767,55668,279,66836,164,47912
57259.66,2800713,2749948,16370460,11124856,1471,109936,8382,64864,13295,401232,763,67532,4762,129780,474,79056,567,71804,415,57144,767,55668,279,66836,164,47912
58263.11,2801310,2750520,16370460,11118308,1472,109936,8383,64864,13297,401232,764,67532,4763,129780,476,79056,567,71804,415,57144,768,55668,280,66836,164,47912
59267.76,2801905,2751093,16370460,11117832,1473,109936,8386,65248,13300,401232,764,67532,4763,129780,479,79056,567,71804,415,57144,768,55668,280,66836,164,47912
60270.79,2802502,2751669,16370460,11117580,1473,109936,8386,65248,13301,401232,764,67532,4764,129780,482,79056,567,71804,415,57144,768,55668,280,66836,164,47912
61273.83,2803096,2752237,16370460,11116348,1473,109936,8387,65248,13303,401232,764,67532,4765,129780,485,79056,567,71804,415,57144,768,55668,280,66836,164,47912
62278.08,2803692,2752814,16370460,11116348,1473,109936,8388,65248,13306,401232,764,67532,4766,129780,487,79056,567,71804,415,57144,768,55668,280,66836,164,47912
63284.23,2804291,2753389,16370460,11115844,1473,109936,8390,65248,13308,401232,764,67532,4766,129780,489,79056,567,71804,416,57144,768,55668,280,66836,164,47912
64287.64,2804886,2753959,16370460,11115088,1473,109936,8391,65248,13311,401232,764,67532,4768,129780,492,79056,567,71804,416,57144,768,55668,280,66836,164,47912
65291.86,2805480,2754533,16370460,11116904,1474,109936,8392,65248,13312,401232,765,67532,4768,129780,495,79056,567,71804,416,57144,768,55668,280,66836,165,47912
66296.61,2806078,2755104,16370460,11115376,1474,109936,8394,64744,13315,401232,766,67532,4770,129908,498,79056,567,71804,416,57144,769,55668,280,66836,165,47912
67301.76,2806674,2755673,16370460,11113360,1474,109936,8398,65116,13319,401232,766,67532,4771,129908,500,79056,567,71804,416,57144,769,55668,280,66836,165,47912
68305.95,2807270,2756249,16370460,11113360,1474,109936,8398,65116,13321,401232,766,67532,4772,129908,503,79056,567,71804,416,57144,769,55668,280,66836,165,47912
69310.14,2807865,2756819,16370460,11111608,1476,109936,8401,65244,13323,401232,766,67532,4772,129908,506,79056,568,71804,417,57144,769,55668,280,66836,165,47912
70317.23,2808464,2757395,16370460,11111356,1476,109936,8401,65244,13325,401232,766,67532,4774,129908,508,79056,568,71804,417,57144,769,55668,280,66836,165,47912
71318.79,2809058,2757959,16370460,11109340,1476,109936,8404,65524,13330,401232,766,67532,4774,130036,512,79056,568,71804,417,57144,769,55668,280,66836,165,47912
72321.35,2809653,2758535,16370460,11109088,1476,109936,8405,65524,13331,401232,766,67532,4776,130036,514,79056,568,71804,418,57144,769,55668,280,66836,165,47912
73324.61,2810248,2759108,16370460,11108332,1476,109936,8407,65524,13334,401232,766,67532,4777,130036,516,79056,568,71804,418,57144,769,55668,280,66836,165,47912
