time,total,idle,mem_total,mem_free,2028/cpu,2028/rss,2030/cpu,2030/rss,2054/cpu,2054/rss,2056/cpu,2056/rss,2938/cpu,2938/rss,2954/cpu,2954/rss,3862/cpu,3862/rss,3888/cpu,3888/rss
40122.08,1357099,1220670,3887864,1537572,14510,82312,7005,71412,33679,367528,7116,117688,1239,88336,282,41764,473,16600,1857,55368
41124.12,1357498,1221049,3887864,1539424,14513,82312,7007,71412,33683,367528,7117,117688,1239,88336,282,41764,473,16600,1857,55368
42126.47,1357890,1221369,3887864,1551572,14522,82312,7008,71412,33711,367528,7119,117688,1239,88336,282,41764,473,16600,1865,55552
43128.58,1358290,1221738,3887864,1552456,14527,82312,7010,71412,33719,367532,7121,117688,1240,88336,282,41764,473,16600,1866,55556
44130.65,1358688,1222094,3887864,1561752,14530,82312,7011,71412,33726,367532,7122,117688,1240,88336,282,41764,473,16600,1866,55556
45135.32,1359085,1222460,3887864,1562008,14534,82312,7013,71412,33734,367532,7124,117688,1240,88336,282,41764,473,16600,1866,55556
46137.41,1359477,1222788,3887864,1545480,14541,82312,7018,71412,33746,367532,7128,117688,1241,88336,285,41764,474,16600,1866,55556
47139.47,1359877,1223163,3887864,1555668,14544,82312,7019,71412,33753,367532,7129,117688,1241,88336,285,41764,474,16600,1867,55556
48141.58,1360275,1223545,3887864,1555668,14547,82312,7021,71412,33759,367532,7131,117688,1242,88336,285,41764,474,16600,1867,55556
49143.61,1360671,1223896,3887864,1557172,14551,82312,7022,71412,33767,367532,7133,117688,1242,88336,285,41764,474,16600,1867,55556
50145.6,1361076,1224280,3887864,1557172,14553,82312,7023,71412,33772,367532,7134,117688,1242,88336,285,41764,474,16600,1867,55556
51151.77,1361471,1224635,3887864,1562108,14556,82312,7025,71412,33779,367532,7135,117688,1242,88336,285,41764,474,16600,1868,55556
52155.83,1361867,1224993,3887864,1561860,14564,82312,7028,71412,33791,367532,7138,117688,1243,88336,285,41764,475,16600,1869,55556
53157.94,1362260,1225317,3887864,1564540,14569,82312,7032,71412,33804,367532,7140,117688,1243,88336,285,41764,475,16600,1869,55556
54160.18,1362661,1225680,3887864,1564540,14573,82312,7033,71412,33811,367532,7141,117688,1243,88336,285,41764,475,16600,1870,55556
55162.35,1363055,1226031,3887864,1560684,14577,82312,7034,71420,33819,367532,7143,117688,1245,88336,285,41764,475,16600,1870,55556
56164.32,1363452,1226409,3887864,1561412,14579,82312,7037,71420,33824,367532,7146,117688,1245,88336,285,41764,476,16600,1870,55556
57166.37,1363846,1226768,3887864,1562816,14582,82312,7038,71420,33831,367532,7146,117688,1245,88336,285,41764,476,16600,1870,55556
58170.58,1364247,1227144,3887864,1563300,14587,82312,7039,71420,33839,367532,7148,117688,1245,88336,285,41764,476,16600,1870,55556
59174.42,1364638,1227470,3887864,1563048,14597,82312,7043,71420,33865,367536,7152,117688,1246,88336,285,41764,476,16600,1875,55564
60176.62,1365037,1227827,3887864,1563996,14601,82312,7044,71420,33872,367536,7154,117688,1246,88336,285,41764,476,16600,1875,55564
61178.7,1365436,1228210,3887864,1563996,14603,82312,7046,71420,33877,367536,7155,117688,1247,88336,285,41764,476,16600,1875,55564
62182.18,1365829,1228547,3887864,1563840,14610,82312,7048,71420,33895,367540,7157,117688,1247,88336,285,41764,477,16600,1878,55564
63184.58,1366226,1228909,3887864,1563428,14614,82312,7049,71420,33903,367540,7159,117688,1247,88336,285,41764,477,16600,1879,55564
64186.64,1366623,1229252,3887864,1565648,14617,82312,7050,71420,33911,367540,7160,117688,1247,88336,285,41764,477,16600,1880,55564
