time,total,idle,mem_total,mem_free,2649/cpu,2649/rss,2691/cpu,2691/rss,2694/cpu,2694/rss,2695/cpu,2695/rss,3567/cpu,3567/rss,3587/cpu,3587/rss,50315/cpu,50315/rss,51561/cpu,51561/rss,51732/cpu,51732/rss,51997/cpu,51997/rss,52345/cpu,52345/rss,52803/cpu,52803/rss
1012.99,6702957,5988264,3887864,305128,91044,120076,44088,138272,38079,75088,201160,772776,6963,96364,1739,42824,3336,55296,1798,50808,1508,53156,443,47244,2618,67100,793,61148
2016.24,6703352,5988600,3887864,304024,91050,120080,44091,138272,38080,75088,201178,772776,6964,96364,1739,42824,3337,55408,1798,50808,1509,53156,443,47244,2620,67164,793,61148
3018.95,6703745,5988943,3887864,304472,91053,120080,44093,138272,38082,75088,201185,772776,6964,96364,1739,42824,3337,55408,1798,50808,1509,53156,443,47244,2620,67164,793,61148
4021.74,6704141,5989274,3887864,303468,91062,120108,44095,138272,38084,75088,201198,772780,6966,96364,1739,42824,3338,55412,1800,50808,1510,53156,443,47244,2620,67164,793,61148
5025.27,6704530,5989443,3887864,303160,91087,120172,44105,138276,38086,75088,201287,772792,6968,96364,1739,42824,3353,55212,1803,50808,1515,53284,444,47244,2635,67360,797,62180
6028.66,6704912,5989674,3887864,301060,91107,120884,44111,138276,38088,75088,201346,772792,6971,96372,1739,42824,3364,55236,1804,50808,1518,53576,444,47244,2647,68388,801,62188
7032.18,6705307,5990017,3887864,299704,91110,120888,44115,138276,38089,75088,201358,772792,6972,96372,1739,42824,3364,55236,1805,50808,1518,53576,444,47244,2647,68388,801,62188
8034.95,6705707,5990319,3887864,300036,91114,120888,44118,138276,38091,75088,201417,772800,6972,96372,1739,42824,3365,55236,1805,50808,1519,53576,445,47244,2647,68388,801,62188
9037.67,6706098,5990658,3887864,298780,91118,120888,44119,138276,38093,75088,201429,772800,6972,96372,1739,42824,3365,55240,1805,50808,1519,53644,445,47244,2648,68392,801,62188
10042.48,6706493,5991005,3887864,299264,91124,120888,44122,138276,38095,75088,201438,772800,6972,96372,1739,42824,3365,55240,1805,50808,1519,53664,445,47244,2649,68392,801,62188
11045.38,6706886,5991338,3887864,299760,91132,120888,44124,138276,38098,75088,201454,772800,6973,96372,1741,42824,3366,55240,1805,50808,1520,53692,445,47244,2650,68392,801,62188
12048.03,6707277,5991693,3887864,299760,91136,120888,44126,138276,38100,75088,201461,772800,6973,96372,1741,42824,3367,55240,1805,50808,1520,53692,445,47244,2650,68392,801,62188
