time,total,idle,mem_total,mem_free,2017/cpu,2017/rss,2018/cpu,2018/rss,2021/cpu,2021/rss,2028/cpu,2028/rss,2910/cpu,2910/rss,2931/cpu,2931/rss,7107/cpu,7107/rss,7318/cpu,7318/rss
1014.07,688481,610660,3887864,869280,25646,664832,4783,124828,4124,71996,9289,132588,927,91668,213,42000,248,16424,1056,52816
2018.78,688869,611000,3887864,870216,25668,664832,4787,124828,4126,71996,9301,132588,928,91668,213,42000,248,16424,1058,52824
3020.87,689263,611339,3887864,861640,25677,664836,4802,124832,4130,71996,9303,132588,928,91668,213,42000,248,16424,1058,52824
4022.8,689661,611711,3887864,863980,25685,664836,4804,124832,4131,71996,9307,132588,928,91668,213,42000,248,16424,1060,52824
5027.07,690057,612054,3887864,873768,25697,664836,4806,124832,4133,71996,9311,132588,928,91668,213,42000,248,16424,1063,52824
6029.5,690452,612353,3887864,873332,25738,664844,4809,124832,4134,71996,9323,132588,928,91668,213,42000,248,16424,1075,52836
7031.52,690846,612710,3887864,867124,25746,664844,4811,124832,4135,71996,9327,132588,928,91668,213,42000,248,16424,1076,52836
8036.65,691239,613066,3887864,867972,25758,664844,4813,124832,4137,71996,9332,132588,928,91668,213,42000,249,16424,1076,52836
9042.2,691630,613420,3887864,865964,25766,664844,4819,124832,4143,71996,9336,132588,930,91668,213,42000,249,16424,1076,52836
10045.83,692021,613780,3887864,874712,25774,664844,4821,124832,4145,71996,9339,132588,930,91668,214,42000,249,16424,1076,52836
11050.22,692418,614133,3887864,875084,25798,664848,4822,124832,4147,71996,9346,132588,930,91668,214,42000,250,16424,1082,52848
12052.27,692813,614480,3887864,871248,25809,664852,4824,124832,4149,71996,9352,132588,930,91668,214,42000,250,16424,1084,52848
13054.63,693206,614860,3887864,871248,25816,664852,4826,124832,4151,71996,9355,132588,930,91668,214,42000,250,16424,1084,52848
14057.47,693604,615214,3887864,862164,25823,664852,4827,124832,4152,71996,9358,132588,930,91668,214,42000,250,16424,1084,52848
