time,total,idle,mem_total,mem_free,2649/cpu,2649/rss,2691/cpu,2691/rss,2694/cpu,2694/rss,2695/cpu,2695/rss,3567/cpu,3567/rss,3587/cpu,3587/rss,50315/cpu,50315/rss,51561/cpu,51561/rss,51732/cpu,51732/rss,51997/cpu,51997/rss,52345/cpu,52345/rss,52803/cpu,52803/rss
1011.98,6475899,5792442,3887864,134380,87457,148064,42227,135176,36743,73796,192893,759960,6586,96096,1662,42772,2875,54580,564,49740,1173,52336,374,47112,2227,67800,670,61400
2015.11,6476296,5792771,3887864,133724,87463,148064,42231,135176,36745,73796,192909,759960,6587,96096,1662,42772,2876,54608,565,49740,1173,52340,374,47144,2228,67808,670,61400
3018.11,6476690,5793116,3887864,134952,87467,148064,42235,135176,36746,73796,192918,759960,6588,96096,1662,42772,2876,54612,565,49740,1173,52340,374,47144,2228,67808,670,61400
4021.75,6477087,5793448,3887864,134952,87475,148064,42239,135176,36748,73796,192935,759996,6590,96096,1662,42772,2876,54612,565,49740,1175,52396,374,47144,2228,67808,670,61400
5027.05,6477483,5793746,3887864,133640,87484,148064,42243,135176,36750,73796,192965,760024,6592,96096,1663,42772,2881,54612,567,49748,1177,52740,375,47148,2232,67816,670,61400
6032.27,6477872,5793928,3887864,125404,87505,148064,42252,135176,36752,73796,193046,766516,6594,96116,1663,42772,2894,54620,571,49748,1182,53424,376,47148,2245,67872,677,62424
7035.22,6478268,5794143,3887864,118392,87516,148064,42255,135176,36754,73796,193161,771404,6595,96116,1663,42772,2898,54636,573,49748,1182,53564,376,47148,2252,68484,677,62424
8038.01,6478664,5794499,3887864,118392,87520,148064,42257,135176,36756,73796,193167,771436,6595,96116,1663,42772,2898,54636,574,49748,1182,53564,377,47148,2252,68484,677,62424
9042.54,6479057,5794852,3887864,117900,87523,148064,42258,135176,36757,73796,193174,771468,6595,96116,1663,42772,2899,54636,574,49748,1183,53564,377,47148,2252,68484,677,62424
10046.3,6479449,5795176,3887864,117648,87527,148064,42260,135176,36758,73796,193185,771556,6596,96116,1664,42772,2899,54640,575,49748,1185,53680,377,47148,2252,68484,677,62424
11049.23,6479842,5795513,3887864,117396,87533,148064,42262,135176,36761,73796,193198,771652,6597,96116,1664,42772,2901,54640,575,49748,1185,53680,377,47148,2254,68604,677,62424
12051.94,6480240,5795861,3887864,118416,87539,148064,42266,135196,36762,73796,193207,771696,6597,96116,1664,42772,2902,54716,575,49748,1186,53680,377,47148,2255,68612,677,62424
13054.71,6480634,5796210,3887864,117916,87543,148064,42268,135196,36764,73796,193215,771748,6597,96116,1664,42772,2903,54716,575,49748,1186,53680,377,47148,2255,68612,677,62424
