time,total,idle,mem_total,mem_free,2017/cpu,2017/rss,2018/cpu,2018/rss,2021/cpu,2021/rss,2028/cpu,2028/rss,2910/cpu,2910/rss,2931/cpu,2931/rss,7107/cpu,7107/rss,7318/cpu,7318/rss
1009.41,941186,837393,3887864,913840,31942,619052,6170,121460,5356,72076,12068,135932,1126,91804,265,42068,335,16444,1375,53084
2013.19,941580,837759,3887864,914988,31954,619056,6172,121460,5358,72076,12073,135932,1126,91804,265,42068,335,16444,1377,53096
3017.74,941972,838103,3887864,915124,31964,619056,6173,121460,5359,72076,12077,135932,1126,91804,265,42068,335,16444,1378,53096
4020.42,942367,838454,3887864,915124,31986,619068,6176,121460,5361,72076,12084,135932,1126,91804,265,42068,335,16444,1384,53132
5023.13,942763,838811,3887864,902776,31993,619068,6178,121460,5362,72076,12086,135932,1126,91804,265,42068,335,16444,1384,53132
6025.19,943156,839072,3887864,902856,32084,619120,6181,121460,5363,72076,12097,135932,1127,91804,266,42068,335,16444,1394,53220
7027.28,943553,839408,3887864,905816,32093,619152,6183,121460,5366,72076,12104,135932,1127,91804,266,42068,335,16444,1394,53220
8031.84,943945,839779,3887864,906464,32100,619152,6185,121460,5368,72076,12108,135932,1128,91804,266,42068,335,16444,1394,53220
9034.24,944337,840101,3887864,894120,32125,619164,6187,121460,5371,72076,12117,135932,1128,91804,266,42068,336,16444,1398,53228
10036.24,944737,840481,3887864,906940,32131,619164,6188,121460,5373,72076,12119,135932,1128,91804,266,42068,336,16444,1398,53228
11041.55,945132,840860,3887864,908156,32137,619164,6190,121460,5374,72076,12123,135932,1129,91804,266,42068,336,16444,1399,53228
12045.0,945528,841182,3887864,902304,32160,619196,6192,121460,5375,72076,12131,135932,1129,91804,266,42068,336,16444,1405,53232
13047.12,945925,841564,3887864,910844,32166,619232,6193,121460,5377,72076,12134,135932,1129,91804,266,42068,336,16444,1405,53236
14051.51,946319,841906,3887864,909336,32182,619240,6196,121460,5378,72076,12140,135932,1129,91804,266,42068,337,16444,1408,53236
15057.06,946711,842271,3887864,911628,32191,619240,6198,121460,5381,72076,12144,135932,1129,91804,266,42068,337,16444,1408,53236
16059.33,947105,842604,3887864,915076,32202,619240,6202,121460,5384,72076,12149,135932,1130,91804,268,42068,337,16444,1408,53236
17061.34,947500,842962,3887864,917320,32213,619240,6204,121460,5387,72076,12154,135932,1130,91804,268,42068,337,16444,1410,53248
18063.39,947894,843317,3887864,896288,32222,619240,6205,121460,5388,72076,12157,135932,1130,91804,268,42068,337,16444,1410,53248
19065.41,948289,843697,3887864,896448,32228,619240,6207,121464,5389,72076,12160,135932,1131,91804,268,42068,337,16444,1410,53248
20067.68,948681,844016,3887864,904360,32246,619244,6211,121464,5391,72076,12166,135932,1131,91804,268,42068,337,16444,1413,53252
21072.18,949079,844390,3887864,905036,32253,619244,6213,121464,5392,72076,12170,135932,1131,91804,268,42068,338,16444,1413,53252
22077.39,949467,844719,3887864,905824,32278,619248,6216,121464,5395,72076,12179,135932,1131,91804,268,42068,338,16444,1417,53252
23079.61,949860,845076,3887864,916284,32287,619248,6217,121464,5397,72076,12182,135932,1131,91804,268,42068,338,16444,1417,53252
24081.62,950260,845457,3887864,916788,32292,619248,6218,121464,5398,72076,12184,135932,1131,91804,268,42068,338,16444,1418,53252
